,Datetime,Tweet Id,url,replyCount,renderedContent,source,text,retweetCount,language,likes
226,2022-12-22 04:04:22+00:00,1605776234084184064,https://twitter.com/IPL/status/1605776234084184064,9,"𝐂𝐀𝐍. 𝐍𝐎𝐓. 𝐖𝐀𝐈𝐓! ⏳

Just 1️⃣ day to go for the #TATAIPLAuction 2023! 🙌🏻

📍Kochi
🕰️ 2:30 PM IST https://t.co/7F4WrPziCx","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","𝐂𝐀𝐍. 𝐍𝐎𝐓. 𝐖𝐀𝐈𝐓! ⏳

Just 1️⃣ day to go for the #TATAIPLAuction 2023! 🙌🏻

📍Kochi
🕰️ 2:30 PM IST https://t.co/7F4WrPziCx",176,en,2855
227,2022-12-21 16:01:57+00:00,1605594430823895040,https://twitter.com/IPL/status/1605594430823895040,26,"Kochi, we are here! 📍

Just 2️⃣ days to go for the #TATAIPLAuction 2023 👌 https://t.co/wKP8lmNCh8","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kochi, we are here! 📍

Just 2️⃣ days to go for the #TATAIPLAuction 2023 👌 https://t.co/wKP8lmNCh8",333,en,4609
228,2022-12-21 09:26:36+00:00,1605494939839856640,https://twitter.com/IPL/status/1605494939839856640,105,"Presenting some of the 🔝 Picks of the #TATAIPLAuction2023 👌🏻👌🏻

Which player's bidding war are you looking forward to the most 🤔 https://t.co/aNMYq1QCzL","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Presenting some of the 🔝 Picks of the #TATAIPLAuction2023 👌🏻👌🏻

Which player's bidding war are you looking forward to the most 🤔 https://t.co/aNMYq1QCzL",275,en,6345
229,2022-12-21 07:00:09+00:00,1605458080459882498,https://twitter.com/IPL/status/1605458080459882498,6,"𝘾𝙖𝙡𝙮𝙥𝙨𝙤 𝙎𝙥𝙚𝙘𝙞𝙖𝙡: Nicholas Pooran smacked a quick-fire 6️⃣2️⃣(34) in 🧡🧡 for @SunRisers

While everyone eagerly waits for the #TATAIPLAuction 2023 to begin, relive his batting pyrotechnics here 🎥
iplt20.com/video/44505/ca…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","𝘾𝙖𝙡𝙮𝙥𝙨𝙤 𝙎𝙥𝙚𝙘𝙞𝙖𝙡: Nicholas Pooran smacked a quick-fire 6️⃣2️⃣(34) in 🧡🧡 for @SunRisers

While everyone eagerly waits for the #TATAIPLAuction 2023 to begin, relive his batting pyrotechnics here 🎥
https://t.co/PCRqkEOZzE",39,en,943
230,2022-12-21 05:29:17+00:00,1605435215811338240,https://twitter.com/IPL/status/1605435215811338240,3,"Jason Holder displayed his bowling brilliance with his fine 3️⃣-wicket haul in #TATAIPL 2022👌🏻👌🏻

As we inch closer to the #TATAIPLAuction 2023, relive the all-rounder’s valuable bowling performance 🎥
iplt20.com/video/44696/ja…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jason Holder displayed his bowling brilliance with his fine 3️⃣-wicket haul in #TATAIPL 2022👌🏻👌🏻

As we inch closer to the #TATAIPLAuction 2023, relive the all-rounder’s valuable bowling performance 🎥
https://t.co/LNm0LIj6F4",41,en,1090
231,2022-12-21 04:03:18+00:00,1605413575740514304,https://twitter.com/IPL/status/1605413575740514304,12,"1️⃣0️⃣7️⃣* runs 💯
6️⃣0️⃣ deliveries 

A Ben Stokes Special 🎇

He’s one of the 🔝 players to go under the hammer in the #TATAIPLAuction 2023, recap his century now 🎥
iplt20.com/video/222178/s…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1️⃣0️⃣7️⃣* runs 💯
6️⃣0️⃣ deliveries 

A Ben Stokes Special 🎇

He’s one of the 🔝 players to go under the hammer in the #TATAIPLAuction 2023, recap his century now 🎥
https://t.co/YReunt0fqa",75,en,2043
232,2022-12-20 15:27:20+00:00,1605223331590189056,https://twitter.com/IPL/status/1605223331590189056,21,"Sam Curran displayed his bowling brilliance with a crucial 3️⃣-wicket haul for @ChennaiIPL in 2021 👌🏻👌🏻

While teams gear up to enter the bidding war for him ahead of the #TATAIPLAuction 2023, relive his impressive show with the ball 🎥
iplt20.com/video/237461/s…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sam Curran displayed his bowling brilliance with a crucial 3️⃣-wicket haul for @ChennaiIPL in 2021 👌🏻👌🏻

While teams gear up to enter the bidding war for him ahead of the #TATAIPLAuction 2023, relive his impressive show with the ball 🎥
https://t.co/wEYhX1arlP",88,en,1930
233,2022-12-20 11:49:32+00:00,1605168518605189121,https://twitter.com/IPL/status/1605168518605189121,12,"1️⃣0️⃣6️⃣ Runs
5️⃣0️⃣ Balls

@mayankcricket set the stage on 🔥🔥 with his whirlwind knock  🌪️  a couple of years ago

As he remains one of the key players to go under the hammer in the #TATAIPLAuction 2023, let's relive that power-packed innings 🎥 🔽 

iplt20.com/video/209292/m…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1️⃣0️⃣6️⃣ Runs
5️⃣0️⃣ Balls

@mayankcricket set the stage on 🔥🔥 with his whirlwind knock  🌪️  a couple of years ago

As he remains one of the key players to go under the hammer in the #TATAIPLAuction 2023, let's relive that power-packed innings 🎥 🔽 

https://t.co/fl6pOAyEZo",81,en,2910
234,2022-12-20 09:55:31+00:00,1605139826835345408,https://twitter.com/IPL/status/1605139826835345408,125,"Whether it’s playing iconic knocks or bowling match-defining spells, Ben Stokes has done it all! 🙌

It’s prediction time! Which team do you reckon will the valuable all-rounder be a part of after the #TATAIPLAuction 2023 🤔 https://t.co/WFXzScNp3p","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Whether it’s playing iconic knocks or bowling match-defining spells, Ben Stokes has done it all! 🙌

It’s prediction time! Which team do you reckon will the valuable all-rounder be a part of after the #TATAIPLAuction 2023 🤔 https://t.co/WFXzScNp3p",84,en,3084
235,2022-12-20 03:59:32+00:00,1605050242067361795,https://twitter.com/IPL/status/1605050242067361795,195,"Highest score of 5️⃣5️⃣* and best bowling figures of 4️⃣/1️⃣1️⃣ 🔥🔥

All eyes 👀 will be on Sam Curran during the #TATAIPLAuction 2023! Which team will win the bidding war though 🤔 https://t.co/VDBzB6Vh1X","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Highest score of 5️⃣5️⃣* and best bowling figures of 4️⃣/1️⃣1️⃣ 🔥🔥

All eyes 👀 will be on Sam Curran during the #TATAIPLAuction 2023! Which team will win the bidding war though 🤔 https://t.co/VDBzB6Vh1X",138,en,4751
236,2022-12-19 11:56:07+00:00,1604807788445675520,https://twitter.com/IPL/status/1604807788445675520,92,"Jason Holder proves to be a valuable addition to any unit with his all-round display 👌🏻👌🏻

Which team will he head to after the #TATAIPLAuction 2023 🤔 https://t.co/yNPywqLz51","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jason Holder proves to be a valuable addition to any unit with his all-round display 👌🏻👌🏻

Which team will he head to after the #TATAIPLAuction 2023 🤔 https://t.co/yNPywqLz51",69,en,2879
237,2022-12-19 04:42:09+00:00,1604698576785145856,https://twitter.com/IPL/status/1604698576785145856,408,"A world class batter with impressive batting adaptability across all formats 👌🏻👌🏻

Which team do you folks reckon will Joe Root be a part of after the #TATAIPLAuction 2023 🤔 https://t.co/SAkphvEGkE","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A world class batter with impressive batting adaptability across all formats 👌🏻👌🏻

Which team do you folks reckon will Joe Root be a part of after the #TATAIPLAuction 2023 🤔 https://t.co/SAkphvEGkE",115,en,4768
238,2022-12-18 08:35:20+00:00,1604394872957722625,https://twitter.com/IPL/status/1604394872957722625,102,"A clean hitter of the ball with the ability to play authoritative strokes 💪🏻

Which team will the in-form South Africa star Rilee Rossouw feature in after the #TATAIPLAuction 2023 🤔 https://t.co/x7A7p5spLy","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A clean hitter of the ball with the ability to play authoritative strokes 💪🏻

Which team will the in-form South Africa star Rilee Rossouw feature in after the #TATAIPLAuction 2023 🤔 https://t.co/x7A7p5spLy",61,en,2106
239,2022-12-18 04:48:42+00:00,1604337838547292161,https://twitter.com/IPL/status/1604337838547292161,132,"A stylish left-handed batter with a strike rate over 1️⃣5️⃣0️⃣ and ability to play big hits at will 👌🏻👌🏻

Which team do you reckon will @nicholas_47 be in after the #TATAIPLAuction 2023❓ https://t.co/7CDrh3yVAl","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A stylish left-handed batter with a strike rate over 1️⃣5️⃣0️⃣ and ability to play big hits at will 👌🏻👌🏻

Which team do you reckon will @nicholas_47 be in after the #TATAIPLAuction 2023❓ https://t.co/7CDrh3yVAl",81,en,3102
